,Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicatessen,Cluster_KM
0,2,3,3366.0,5403.0,12974.0,4400.0,5977.0,1744.0,0
1,2,3,13146.0,1124.0,4523.0,1420.0,549.0,497.0,0
2,2,3,31714.0,12319.0,11757.0,287.0,3881.0,2931.0,0
3,2,3,21217.0,6208.0,14982.0,3095.0,6707.0,602.0,0
4,2,3,24653.0,9465.0,12091.0,294.0,5058.0,2168.0,0
5,1,3,10253.0,1114.0,3821.0,397.0,964.0,412.0,1
6,2,3,1020.0,8816.0,12121.0,134.0,4508.0,1080.0,0
7,1,3,5876.0,6157.0,2933.0,839.0,370.0,3850.0,1
8,2,3,18601.0,6327.0,10099.0,2205.0,2767.0,3181.0,0
9,1,3,7780.0,2495.0,9464.0,669.0,2518.0,501.0,1
10,2,3,17546.0,4519.0,4602.0,1066.0,2259.0,2124.0,0
11,1,3,5567.0,871.0,2010.0,3383.0,375.0,569.0,1
12,1,3,31276.0,1917.0,4469.0,7787.25,2381.0,3850.0,3
13,2,3,26373.0,15489.5,22019.0,5154.0,4337.0,3850.0,0
14,2,3,22647.0,9776.0,13792.0,2915.0,4482.0,3850.0,0
15,2,3,16165.0,4230.0,7595.0,201.0,4003.0,57.0,0
16,1,3,9898.0,961.0,2861.0,3151.0,242.0,833.0,1
17,1,3,14276.0,803.0,3045.0,485.0,100.0,518.0,1
18,2,3,4113.0,15489.5,23549.375,1158.0,8604.0,3850.0,0
19,1,3,37788.25,2100.0,2609.0,1200.0,1107.0,823.0,1
20,1,3,18815.0,3610.0,11107.0,1148.0,2134.0,2963.0,1
21,1,3,2612.0,4339.0,3133.0,2088.0,820.0,985.0,1
22,1,3,21632.0,1318.0,2886.0,266.0,918.0,405.0,1
23,1,3,29729.0,4786.0,7326.0,6130.0,361.0,1083.0,3
24,1,3,1502.0,1979.0,2262.0,425.0,483.0,395.0,1
25,2,3,688.0,5491.0,11091.0,833.0,4239.0,436.0,0
26,1,3,29955.0,4362.0,5428.0,1729.0,862.0,3850.0,3
27,2,3,15168.0,10556.0,12477.0,1920.0,6506.0,714.0,0
28,2,3,4591.0,15489.5,16709.0,33.0,6956.0,433.0,0
29,1,3,37788.25,555.0,902.0,7787.25,212.0,2916.0,3
30,1,3,24025.0,4332.0,4757.0,7787.25,1145.0,3850.0,3
31,1,3,19176.0,3065.0,5956.0,2033.0,2575.0,2802.0,1
32,2,3,10850.0,7555.0,14961.0,188.0,6899.0,46.0,0
33,2,3,630.0,11095.0,23549.375,787.0,9529.0,72.0,0
34,2,3,9670.0,7027.0,10471.0,541.0,4618.0,65.0,0
35,2,3,5181.0,15489.5,21531.0,1740.0,7353.0,3850.0,0
36,2,3,3103.0,14069.0,21955.0,1668.0,6792.0,1452.0,0
37,2,3,37788.25,15489.5,23549.375,7782.0,9598.375,3850.0,0
38,2,3,11519.0,6152.0,10868.0,584.0,5121.0,1476.0,0
39,2,3,4967.0,15489.5,23549.375,1798.0,9598.375,1163.0,0
40,1,3,6269.0,1095.0,1980.0,3860.0,609.0,2162.0,1
41,1,3,3347.0,4051.0,6996.0,239.0,1538.0,301.0,1
42,2,3,37788.25,3916.0,5876.0,532.0,2587.0,1278.0,0
43,2,3,491.0,10473.0,11532.0,744.0,5611.0,224.0,0
44,1,3,27329.0,1449.0,1947.0,2436.0,204.0,1333.0,1
45,1,3,5264.0,3683.0,5005.0,1057.0,2024.0,1130.0,1
46,2,3,4098.0,15489.5,23549.375,2616.0,9598.375,1340.0,0
47,2,3,5417.0,9933.0,10487.0,38.0,7572.0,1282.0,0
48,1,3,13779.0,1970.0,1648.0,596.0,227.0,436.0,1
49,1,3,6137.0,5360.0,8040.0,129.0,3084.0,1603.0,1
50,2,3,8590.0,3045.0,7854.0,96.0,4095.0,225.0,0
51,2,3,35942.0,15489.5,23549.375,3254.0,9598.375,2017.0,0
52,2,3,7823.0,6245.0,6544.0,4154.0,4074.0,964.0,0
53,2,3,9396.0,11601.0,15775.0,2896.0,7677.0,1295.0,0
54,1,3,4760.0,1227.0,3250.0,3724.0,1247.0,1145.0,1
55,2,3,85.0,15489.5,23549.375,36.0,9598.375,1423.0,0
56,1,3,9.0,1534.0,7417.0,175.0,3468.0,27.0,1
57,2,3,19913.0,6759.0,13462.0,1256.0,5141.0,834.0,0
58,1,3,2446.0,7260.0,3993.0,5870.0,788.0,3095.0,3
59,1,3,8352.0,2820.0,1293.0,779.0,656.0,144.0,1
60,1,3,16705.0,2037.0,3202.0,7787.25,116.0,1365.0,3
61,1,3,18291.0,1266.0,21042.0,5373.0,4173.0,3850.0,3
62,1,3,4420.0,5139.0,2661.0,7787.25,1321.0,181.0,3
63,2,3,19899.0,5332.0,8713.0,7787.25,764.0,648.0,3
64,2,3,8190.0,6343.0,9794.0,1285.0,1901.0,1780.0,0
65,1,3,20398.0,1137.0,3.0,4407.0,3.0,975.0,3
66,1,3,717.0,3587.0,6532.0,7530.0,529.0,894.0,3
67,2,3,12205.0,12697.0,23549.375,869.0,9598.375,1009.0,0
68,1,3,10766.0,1175.0,2067.0,2096.0,301.0,167.0,1
69,1,3,1640.0,3259.0,3655.0,868.0,1202.0,1653.0,1
70,1,3,7005.0,829.0,3009.0,430.0,610.0,529.0,1
71,2,3,219.0,9540.0,14403.0,283.0,7818.0,156.0,0
72,2,3,10362.0,9232.0,11009.0,737.0,3537.0,2342.0,0
73,1,3,20874.0,1563.0,1783.0,2320.0,550.0,772.0,1
74,2,3,11867.0,3327.0,4814.0,1178.0,3837.0,120.0,0
75,2,3,16117.0,15489.5,23549.375,1026.0,9598.375,2944.0,0
76,2,3,22925.0,15489.5,23549.375,987.0,9598.375,903.0,0
77,1,3,37788.25,5025.0,8117.0,6312.0,1579.0,3850.0,3
78,1,3,7864.0,542.0,4042.0,7787.25,165.0,46.0,3
79,1,3,24904.0,3836.0,5330.0,3443.0,454.0,3178.0,3
80,1,3,11405.0,596.0,1638.0,3347.0,69.0,360.0,1
81,1,3,12754.0,2762.0,2530.0,7787.25,627.0,1117.0,3
82,2,3,9198.0,15489.5,23549.375,3232.0,9598.375,3850.0,0
83,1,3,11314.0,3090.0,2062.0,7787.25,71.0,2698.0,3
84,2,3,5626.0,12220.0,11323.0,206.0,5038.0,244.0,0
85,1,3,3.0,2920.0,6252.0,440.0,223.0,709.0,1
86,2,3,23.0,2616.0,8118.0,145.0,3874.0,217.0,0
87,1,3,403.0,254.0,610.0,774.0,54.0,63.0,1
88,1,3,503.0,112.0,778.0,895.0,56.0,132.0,1
89,1,3,9658.0,2182.0,1909.0,5639.0,215.0,323.0,3
90,2,3,11594.0,7779.0,12144.0,3252.0,8035.0,3029.0,0
91,2,3,1420.0,10810.0,16267.0,1593.0,6766.0,1838.0,0
92,2,3,2932.0,6459.0,7677.0,2561.0,4573.0,1386.0,0
93,1,3,37788.25,3504.0,8906.0,7787.25,1480.0,2498.0,3
94,1,3,14100.0,2132.0,3445.0,1336.0,1491.0,548.0,1
95,1,3,15587.0,1014.0,3970.0,910.0,139.0,1378.0,1
96,2,3,1454.0,6337.0,10704.0,133.0,6830.0,1831.0,0
97,2,3,8797.0,10646.0,14886.0,2471.0,8969.0,1438.0,0
98,2,3,1531.0,8397.0,6981.0,247.0,2505.0,1236.0,0
99,2,3,1406.0,15489.5,23549.375,673.0,836.0,3.0,0
100,1,3,11818.0,1648.0,1694.0,2276.0,169.0,1647.0,1
101,2,3,12579.0,11114.0,17569.0,805.0,6457.0,1519.0,0
102,1,3,19046.0,2770.0,2469.0,7787.25,483.0,2708.0,3
103,1,3,14438.0,2295.0,1733.0,3220.0,585.0,1561.0,1
104,1,3,18044.0,1080.0,2000.0,2555.0,118.0,1266.0,1
105,1,3,11134.0,793.0,2988.0,2715.0,276.0,610.0,1
106,1,3,11173.0,2521.0,3355.0,1517.0,310.0,222.0,1
107,1,3,6990.0,3880.0,5380.0,1647.0,319.0,1160.0,1
108,1,3,20049.0,1891.0,2362.0,5343.0,411.0,933.0,3
109,1,3,8258.0,2344.0,2147.0,3896.0,266.0,635.0,1
110,1,3,17160.0,1200.0,3412.0,2417.0,174.0,1136.0,1
111,1,3,4020.0,3234.0,1498.0,2395.0,264.0,255.0,1
112,1,3,12212.0,201.0,245.0,1991.0,25.0,860.0,1
113,2,3,11170.0,10769.0,8814.0,2194.0,1976.0,143.0,0
114,1,3,36050.0,1642.0,2961.0,4787.0,500.0,1621.0,3
115,1,3,37788.25,3473.0,7102.0,7787.25,778.0,918.0,3
116,1,3,19219.0,1840.0,1658.0,7787.25,349.0,483.0,3
117,2,3,21465.0,7243.0,10685.0,880.0,2386.0,2749.0,0
118,1,3,140.0,8847.0,3823.0,142.0,1062.0,3.0,1
119,1,3,37788.25,926.0,1510.0,1718.0,410.0,1819.0,1
120,1,3,7149.0,2428.0,699.0,6316.0,395.0,911.0,3
121,1,3,2101.0,589.0,314.0,346.0,70.0,310.0,1
122,1,3,14903.0,2032.0,2479.0,576.0,955.0,328.0,1
123,1,3,9434.0,1042.0,1235.0,436.0,256.0,396.0,1
124,1,3,7388.0,1882.0,2174.0,720.0,47.0,537.0,1
125,1,3,6300.0,1289.0,2591.0,1170.0,199.0,326.0,1
126,1,3,4625.0,8579.0,7030.0,4575.0,2447.0,1542.0,3
127,1,3,3087.0,8080.0,8282.0,661.0,721.0,36.0,1
128,1,3,13537.0,4257.0,5034.0,155.0,249.0,3271.0,1
129,1,3,5387.0,4979.0,3343.0,825.0,637.0,929.0,1
130,1,3,17623.0,4280.0,7305.0,2279.0,960.0,2616.0,1
131,1,3,30379.0,13252.0,5189.0,321.0,51.0,1450.0,1
132,1,3,37036.0,7152.0,8253.0,2995.0,20.0,3.0,3
133,1,3,10405.0,1596.0,1096.0,7787.25,399.0,318.0,3
134,1,3,18827.0,3677.0,1988.0,118.0,516.0,201.0,1
135,2,3,22039.0,8384.0,23549.375,42.0,9598.375,3850.0,0
136,1,3,7769.0,1936.0,2177.0,926.0,73.0,520.0,1
137,1,3,9203.0,3373.0,2707.0,1286.0,1082.0,526.0,1
138,1,3,5924.0,584.0,542.0,4052.0,283.0,434.0,1
139,1,3,31812.0,1433.0,1651.0,800.0,113.0,1440.0,1
140,1,3,16225.0,1825.0,1765.0,853.0,170.0,1067.0,1
141,1,3,1289.0,3328.0,2022.0,531.0,255.0,1774.0,1
142,1,3,18840.0,1371.0,3135.0,3001.0,352.0,184.0,1
143,1,3,3463.0,9250.0,2368.0,779.0,302.0,1627.0,1
144,1,3,622.0,55.0,137.0,75.0,7.0,8.0,1
145,2,3,1989.0,10690.0,19460.0,233.0,9598.375,2153.0,0
146,2,3,3830.0,5291.0,14855.0,317.0,6694.0,3182.0,0
147,1,3,17773.0,1366.0,2474.0,3378.0,811.0,418.0,1
148,2,3,2861.0,6570.0,9618.0,930.0,4004.0,1682.0,0
149,2,3,355.0,7704.0,14682.0,398.0,8077.0,303.0,0
150,2,3,1725.0,3651.0,12822.0,824.0,4424.0,2157.0,0
151,1,3,12434.0,540.0,283.0,1092.0,3.0,2233.0,1
152,1,3,15177.0,2024.0,3810.0,2665.0,232.0,610.0,1
153,2,3,5531.0,15489.5,23549.375,2367.0,9598.375,446.0,0
154,2,3,5224.0,7603.0,8584.0,2540.0,3674.0,238.0,0
155,2,3,15615.0,12653.0,19858.0,4425.0,7108.0,2379.0,0
156,2,3,4822.0,6721.0,9170.0,993.0,4973.0,3637.0,0
157,1,3,2926.0,3195.0,3268.0,405.0,1680.0,693.0,1
158,1,3,5809.0,735.0,803.0,1393.0,79.0,429.0,1
159,1,3,5414.0,717.0,2155.0,2399.0,69.0,750.0,1
160,2,3,260.0,8675.0,13430.0,1116.0,7015.0,323.0,0
161,2,3,200.0,15489.5,19816.0,651.0,8773.0,3850.0,0
162,1,3,955.0,5479.0,6536.0,333.0,2840.0,707.0,1
163,2,3,514.0,7677.0,19805.0,937.0,9598.375,716.0,0
164,1,3,286.0,1208.0,5241.0,2515.0,153.0,1442.0,1
165,2,3,2343.0,7845.0,11874.0,52.0,4196.0,1697.0,0
166,1,3,37788.25,6958.0,6536.0,7368.0,1532.0,230.0,3
167,1,3,12759.0,7330.0,4533.0,1752.0,20.0,2631.0,1
168,1,3,11002.0,7075.0,4945.0,1152.0,120.0,395.0,1
169,1,3,3157.0,4888.0,2500.0,4477.0,273.0,2165.0,3
170,1,3,12356.0,6036.0,8887.0,402.0,1382.0,2794.0,1
171,1,3,37788.25,15489.5,18148.0,7787.25,4948.0,3850.0,3
172,1,3,694.0,8533.0,10518.0,443.0,6907.0,156.0,1
173,1,3,36847.0,15489.5,20170.0,7787.25,239.0,3850.0,3
174,1,3,327.0,918.0,4710.0,74.0,334.0,11.0,1
175,1,3,8170.0,6448.0,1139.0,2181.0,58.0,247.0,1
176,1,3,3009.0,521.0,854.0,3470.0,949.0,727.0,1
177,1,3,2438.0,8002.0,9819.0,6269.0,3459.0,3.0,3
178,2,3,8040.0,7639.0,11687.0,2758.0,6839.0,404.0,0
179,2,3,834.0,11577.0,11522.0,275.0,4027.0,1856.0,0
180,1,3,16936.0,6250.0,1981.0,7332.0,118.0,64.0,3
181,1,3,13624.0,295.0,1381.0,890.0,43.0,84.0,1
182,1,3,5509.0,1461.0,2251.0,547.0,187.0,409.0,1
183,2,3,180.0,3485.0,20292.0,959.0,5618.0,666.0,0
184,1,3,7107.0,1012.0,2974.0,806.0,355.0,1142.0,1
185,1,3,17023.0,5139.0,5230.0,7787.25,330.0,1755.0,3
186,1,1,30624.0,7209.0,4897.0,7787.25,763.0,2876.0,2
187,2,1,2427.0,7097.0,10391.0,1127.0,4314.0,1468.0,2
188,1,1,11686.0,2154.0,6824.0,3527.0,592.0,697.0,2
189,1,1,9670.0,2280.0,2112.0,520.0,402.0,347.0,2
190,2,1,3067.0,13240.0,23127.0,3941.0,9598.375,731.0,2
191,2,1,4484.0,14399.0,23549.375,3549.0,9598.375,1681.0,2
192,1,1,25203.0,11487.0,9490.0,5065.0,284.0,3850.0,2
193,1,1,583.0,685.0,2216.0,469.0,954.0,18.0,2
194,1,1,1956.0,891.0,5226.0,1383.0,5.0,1328.0,2
195,2,1,1107.0,11711.0,23549.375,955.0,9265.0,710.0,2
196,1,1,6373.0,780.0,950.0,878.0,288.0,285.0,2
197,2,1,2541.0,4737.0,6089.0,2946.0,5316.0,120.0,2
198,1,1,1537.0,3748.0,5838.0,1859.0,3381.0,806.0,2
199,2,1,5550.0,12729.0,16767.0,864.0,9598.375,797.0,2
200,1,1,18567.0,1895.0,1393.0,1801.0,244.0,2100.0,2
201,2,1,12119.0,15489.5,23549.375,4736.0,9598.375,2870.0,2
202,1,1,7291.0,1012.0,2062.0,1291.0,240.0,1775.0,2
203,1,1,3317.0,6602.0,6861.0,1329.0,3961.0,1215.0,2
204,2,1,2362.0,6551.0,11364.0,913.0,5957.0,791.0,2
205,1,1,2806.0,10765.0,15538.0,1374.0,5828.0,2388.0,2
206,2,1,2532.0,15489.5,23549.375,179.0,9598.375,674.0,2
207,1,1,18044.0,1475.0,2046.0,2532.0,130.0,1158.0,2
208,2,1,18.0,7504.0,15205.0,1285.0,4797.0,3850.0,2
209,1,1,4155.0,367.0,1390.0,2306.0,86.0,130.0,2
210,1,1,14755.0,899.0,1382.0,1765.0,56.0,749.0,2
211,1,1,5396.0,7503.0,10646.0,91.0,4167.0,239.0,2
212,1,1,5041.0,1115.0,2856.0,7496.0,256.0,375.0,2
213,2,1,2790.0,2527.0,5265.0,5612.0,788.0,1360.0,2
